filename, language, JSON, JavaScript, comment, blank, total
c:\Users\vinic\Documents\PositionAPI\_data\symbols.json, JSON, 1133, 0, 0, 1, 1134
c:\Users\vinic\Documents\PositionAPI\config\db.js, JavaScript, 0, 18, 1, 3, 22
c:\Users\vinic\Documents\PositionAPI\controllers\buys.js, JavaScript, 0, 45, 12, 12, 69
c:\Users\vinic\Documents\PositionAPI\controllers\history.js, JavaScript, 0, 7, 3, 2, 12
c:\Users\vinic\Documents\PositionAPI\controllers\recomendations.js, JavaScript, 0, 32, 9, 8, 49
c:\Users\vinic\Documents\PositionAPI\controllers\symbols.js, JavaScript, 0, 7, 3, 2, 12
c:\Users\vinic\Documents\PositionAPI\middleware\advancedResults.js, JavaScript, 0, 50, 12, 19, 81
c:\Users\vinic\Documents\PositionAPI\middleware\async.js, JavaScript, 0, 3, 0, 2, 5
c:\Users\vinic\Documents\PositionAPI\middleware\auth.js, JavaScript, 0, 3, 0, 2, 5
c:\Users\vinic\Documents\PositionAPI\middleware\error.js, JavaScript, 0, 23, 4, 12, 39
c:\Users\vinic\Documents\PositionAPI\models\Buy.js, JavaScript, 0, 42, 1, 4, 47
c:\Users\vinic\Documents\PositionAPI\models\History.js, JavaScript, 0, 33, 0, 3, 36
c:\Users\vinic\Documents\PositionAPI\models\Recomendation.js, JavaScript, 0, 31, 0, 3, 34
c:\Users\vinic\Documents\PositionAPI\models\Symbol.js, JavaScript, 0, 21, 0, 3, 24
c:\Users\vinic\Documents\PositionAPI\package-lock.json, JSON, 1677, 0, 0, 1, 1678
c:\Users\vinic\Documents\PositionAPI\package.json, JSON, 39, 0, 0, 1, 40
c:\Users\vinic\Documents\PositionAPI\routes\buys.js, JavaScript, 0, 20, 4, 7, 31
c:\Users\vinic\Documents\PositionAPI\routes\history.js, JavaScript, 0, 8, 9, 7, 24
c:\Users\vinic\Documents\PositionAPI\routes\recomendations.js, JavaScript, 0, 18, 4, 7, 29
c:\Users\vinic\Documents\PositionAPI\routes\symbols.js, JavaScript, 0, 8, 7, 7, 22
c:\Users\vinic\Documents\PositionAPI\seeder.js, JavaScript, 0, 37, 7, 8, 52
c:\Users\vinic\Documents\PositionAPI\server.js, JavaScript, 0, 50, 16, 21, 87
c:\Users\vinic\Documents\PositionAPI\utils\errorResponse.js, JavaScript, 0, 7, 0, 2, 9
Total, -, 2849, 463, 92, 137, 3541
